70,,Shorts,Short-sleeve Jersey,,,,,,
60,,Shorts,Long-sleeve jersey,,,,,,
,,,Short-sleeve Jersey,long-sleeve thin undershirt,,,,,
50,,tights,heavy long-sleeve jersey,short-sleeve wicking undershirt,,,,,
,,leg warmers,long-sleeve jersey,long-sleeve undershirt,,,,,
45,,tights,lined cycling jacket,long-sleeve undershirt,light-weight gloves,headband,wool socks,shoe covers,
,,leg warmers,,,,,,,
40,,tights,lined cycling jacket,long-sleeve heavy-weight midlayer,medium-weight gloves,headband,winter cycling shoes,wool socks,shoe covers
,,leg warmers,,,,,,,
35,,heavy tights,heavy-weight cycling jacket,long-sleeve heavy-weight midlayer,heavy-weight gloves,headband,winter cycling shoes,wool socks,shoe covers
